Algoritm,Tip Lista,Dimensiune,Timp Mediu
Bubble,Random,10,2.9039988294243812e-06
Insertion,Random,10,1.7140002455562353e-06
Selection,Random,10,3.96400224417448e-06
Merge,Random,10,9.46599873714149e-06
Quick,Random,10,6.252001039683819e-06

Bubble,Sorted,10,1.61399831995368e-06
Insertion,Sorted,10,1.989995362237096e-06
Selection,Sorted,10,5.091998027637601e-06
Merge,Sorted,10,1.18639983702451e-05
Quick,Sorted,10,8.214000845327973e-06

Bubble,Reverse Sorted,10,1.1818005004897714e-05
Insertion,Reverse Sorted,10,7.598000811412931e-06
Selection,Reverse Sorted,10,6.306000286713242e-06
Merge,Reverse Sorted,10,1.9468001555651425e-05
Quick,Reverse Sorted,10,1.1645996710285545e-05

Bubble,Almost Sorted,10,8.153999224305154e-06
Insertion,Almost Sorted,10,4.537994973361492e-06
Selection,Almost Sorted,10,7.833997951820493e-06
Merge,Almost Sorted,10,1.9377999706193805e-05
Quick,Almost Sorted,10,1.0037997271865607e-05

Bubble,Flat,10,6.874005775898695e-06
Insertion,Flat,10,5.2980019245296714e-06
Selection,Flat,10,7.927999831736088e-06
Merge,Flat,10,2.1982002072036265e-05
Quick,Flat,10,6.825996097177267e-06

Bubble,Random,20,2.8796002734452486e-05
Insertion,Random,20,2.005800371989608e-05
Selection,Random,20,2.6328000240027903e-05
Merge,Random,20,3.4011999377980826e-05
Quick,Random,20,1.8311997409909962e-05

Bubble,Sorted,20,1.6939977649599314e-06
Insertion,Sorted,20,2.6720005553215744e-06
Selection,Sorted,20,1.6160004306584597e-05
Merge,Sorted,20,3.7353995721787215e-05
Quick,Sorted,20,2.017200109548867e-05

Bubble,Reverse Sorted,20,3.968999837525189e-05
Insertion,Reverse Sorted,20,2.2613998735323547e-05
Selection,Reverse Sorted,20,1.5325999120250343e-05
Merge,Reverse Sorted,20,4.953799769282341e-05
Quick,Reverse Sorted,20,2.7187999803572895e-05

Bubble,Almost Sorted,20,2.0454004406929016e-05
Insertion,Almost Sorted,20,8.217999711632729e-06
Selection,Almost Sorted,20,1.685200142674148e-05
Merge,Almost Sorted,20,3.3486002357676626e-05
Quick,Almost Sorted,20,3.102200105786324e-05

Bubble,Flat,20,2.5112000294029713e-05
Insertion,Flat,20,8.283999050036072e-06
Selection,Flat,20,2.2446003276854755e-05
Merge,Flat,20,2.9977998929098247e-05
Quick,Flat,20,7.544000400230289e-06

Bubble,Random,50,0.00017442000447772443
Insertion,Random,50,8.929999778047204e-05
Selection,Random,50,9.673199965618551e-05
Merge,Random,50,0.00010029600467532873
Quick,Random,50,5.890799802727997e-05

Bubble,Sorted,50,5.731992423534394e-06
Insertion,Sorted,50,1.2169999536126852e-05
Selection,Sorted,50,8.574200212024152e-05
Merge,Sorted,50,7.27219949476421e-05
Quick,Sorted,50,6.622200249694288e-05

Bubble,Reverse Sorted,50,0.00021919400547631084
Insertion,Reverse Sorted,50,0.00017245000693947077
Selection,Reverse Sorted,50,8.366200490854681e-05
Merge,Reverse Sorted,50,7.284000050276517e-05
Quick,Reverse Sorted,50,6.326200091280043e-05

Bubble,Almost Sorted,50,5.020799813792109e-05
Insertion,Almost Sorted,50,1.4478001976385712e-05
Selection,Almost Sorted,50,8.774000220000744e-05
Merge,Almost Sorted,50,8.233799948357046e-05
Quick,Almost Sorted,50,8.061599917709828e-05

Bubble,Flat,50,0.00015586000168696046
Insertion,Flat,50,5.8506003115326165e-05
Selection,Flat,50,8.302000002004206e-05
Merge,Flat,50,0.00010775399743579328
Quick,Flat,50,2.2727996110916138e-05

Bubble,Random,100,0.000559811998391524
Insertion,Random,100,0.0003005220030900091
Selection,Random,100,0.00028577999910339713
Merge,Random,100,0.00038455999922007325
Quick,Random,100,0.00015286799520254136

Bubble,Sorted,100,1.1605997569859027e-05
Insertion,Sorted,100,1.8115993589162828e-05
Selection,Sorted,100,0.00030751000274904073
Merge,Sorted,100,0.00014408000162802637
Quick,Sorted,100,0.00013896200456656516

Bubble,Reverse Sorted,100,0.0005896120006218552
Insertion,Reverse Sorted,100,0.0004464640014339238
Selection,Reverse Sorted,100,0.0002594759955536574
Merge,Reverse Sorted,100,0.00015540400403551757
Quick,Reverse Sorted,100,0.00014263000106438993

Bubble,Almost Sorted,100,0.00033514599781483414
Insertion,Almost Sorted,100,4.0161997312679886e-05
Selection,Almost Sorted,100,0.0002791199996136129
Merge,Almost Sorted,100,0.0001580920023843646
Quick,Almost Sorted,100,0.00013810199685394765

Bubble,Flat,100,0.0004777919978369027
Insertion,Flat,100,0.00021731800166890024
Selection,Flat,100,0.0002765140007250011
Merge,Flat,100,0.00020143199595622717
Quick,Flat,100,3.6397994263097645e-05

Bubble,Random,500,0.011130899999989197
Insertion,Random,500,0.006230500002857298
Selection,Random,500,0.006542069994611666
Merge,Random,500,0.0011318399978335948
Quick,Random,500,0.0008362200052943081

Bubble,Sorted,500,3.61100013833493e-05
Insertion,Sorted,500,7.205999572761357e-05
Selection,Sorted,500,0.0066546100017149
